Date,Close
17/03/1980,5.037037
18/03/1980,5.074074
19/03/1980,5.148148
20/03/1980,5.111111
21/03/1980,5.222222
24/03/1980,5.092593
25/03/1980,5.074074
26/03/1980,5.111111
27/03/1980,5.074074
28/03/1980,5.018518
31/03/1980,5.166667
01/04/1980,5.111111
02/04/1980,5.296296
03/04/1980,5.5
07/04/1980,5.537037
08/04/1980,5.444445
09/04/1980,5.37037
10/04/1980,5.481482
11/04/1980,5.481482
14/04/1980,5.462963
15/04/1980,5.333333
16/04/1980,5.425926
17/04/1980,5.333333
18/04/1980,5.296296
21/04/1980,5.166667
22/04/1980,5.333333
23/04/1980,5.333333
24/04/1980,5.296296
25/04/1980,5.222222
28/04/1980,5.333333
29/04/1980,5.351852
30/04/1980,5.407407
01/05/1980,5.5
02/05/1980,5.555555
05/05/1980,5.851852
06/05/1980,5.759259
07/05/1980,5.851852
08/05/1980,5.833333
09/05/1980,5.796296
12/05/1980,5.777778
13/05/1980,5.759259
14/05/1980,5.777778
15/05/1980,5.759259
16/05/1980,5.740741
19/05/1980,5.87037
20/05/1980,5.759259
21/05/1980,5.722222
22/05/1980,5.777778
23/05/1980,5.851852
27/05/1980,5.796296
28/05/1980,5.888889
29/05/1980,5.814815
30/05/1980,5.796296
02/06/1980,5.759259
03/06/1980,5.796296
04/06/1980,5.944445
05/06/1980,5.925926
06/06/1980,6.222222
09/06/1980,5.925926
10/06/1980,6.018518
11/06/1980,6.12963
12/06/1980,6.111111
13/06/1980,6.37037
16/06/1980,6.148148
17/06/1980,6.148148
18/06/1980,6.018518
19/06/1980,5.814815
20/06/1980,5.777778
23/06/1980,5.759259
24/06/1980,5.925926
25/06/1980,5.944445
26/06/1980,5.925926
27/06/1980,5.944445
30/06/1980,5.925926
01/07/1980,5.925926
02/07/1980,5.944445
03/07/1980,5.962963
07/07/1980,5.962963
08/07/1980,5.962963
09/07/1980,5.944445
10/07/1980,6
11/07/1980,6.018518
14/07/1980,6.222222
15/07/1980,6.148148
16/07/1980,6.240741
17/07/1980,6.277778
18/07/1980,6.333333
21/07/1980,6.648148
22/07/1980,6.407407
23/07/1980,6.240741
24/07/1980,6.277778
25/07/1980,6.203704
28/07/1980,6.148148
29/07/1980,6.185185
30/07/1980,6.203704
31/07/1980,6.203704
01/08/1980,6.148148
04/08/1980,6.092593
05/08/1980,6.018518
06/08/1980,6.055555
